https://chatgpt.com/share/69765a8d-0344-8007-9de5-0a756db332d4,,,,
,,,,
"provide listing of churches, synagogues, temples and other religious organizations providing immigrant services and sanctuary in the minneapolis-St.Paul Metro. Focus on Ramsey, Hennepin, Dakota, Scott and Washington Counties. Column names are church/religious organization, county, address, URL, facebook page, phone #, immigrant services offered, volunteers needed (Y/N/?), county. Sort by county, then by organization. export to excel.",,,,
,,,,
Church/Religious Organization,County,Source URLs (one per line),,
International Friendship Center (IFC Twin Cities) – Burnsville (Ascension Lutheran site),Dakota,"https://ifc-twin-cities.org/
https://www.poblo.org/ifc-locations/",,
La Viña Burnsville (Christian church) – Free Food Distribution,Dakota,"https://iglesiavina.org/pages/despensa-gratis
https://www.justserve.org/lavinaburnsville",,
La Viña Inver Iglesia Cristiana – Pan y Peces (Food distribution),Dakota,"https://www.lavinainver.com/ministerios/ministerio-de-alcance/pages/pan-y-peces
https://www.lavinainver.com/events/distribucion-de-comida/2026-01-23",,
Lutheran Church of the Ascension (Burnsville) – Hosts IFC classes,Dakota,"https://www.ascensionburnsville.org/contact
https://ifc-twin-cities.org/",,
Al-Maa'uun (Neighborly Needs) – Masjid An-Nur,Hennepin,"https://almaauun.org/contact-us/
https://handsontwincities.galaxydigital.com/agency/detail/?agency_id=132772
https://ysnmn.org/Detail/Program/1044",,
Arrive Ministries,Hennepin,"https://arriveministries.org/
https://www.mn.gov/portal/people/programs-services/arrive-ministries/
https://www.facebook.com/arriveministries/",,
Church of the Incarnation – Sagrado Corazón de Jesús (Catholic),Hennepin,"https://www.incarnationmpls.org/mourning-to-mission
https://www.mprnews.org/story/2019/07/15/minneapolis-church-legal-clinic-immigrants",,
Holy Trinity Lutheran Church (ELCA) – AMMPARO / Sanctuary-supporting,Hennepin,"https://htlcmpls.org/immigration/
https://htlcmpls.org/contact/
https://www.facebook.com/htlcmpls/",,
ICOM (Minnesota Interfaith Coalition on Immigration),Hennepin,"https://mnicom.org/aid/
https://mnicom.org/work/
https://mnicom.org/contact-2/",,
Masjid An-Nur (Islamic Centers of Minneapolis & St. Paul),Hennepin,"https://www.givemn.org/organization/Masjid-An-Nur-Islamic-Centers-Of-Minneapolis-And-St-Paul
https://ysnmn.org/Detail/Program/1044",,
Minnesota Council of Churches – Refugee Services,Hennepin,"https://mnchurches.org/what-we-do/refugee-services/immigration-legal-services
https://www.facebook.com/mcc.refugeeservices/about/",,
Park Avenue Church Minneapolis (United Methodist) – Walk-In Legal Clinic,Hennepin,"https://www.vlnmn.org/help/clinics/
https://www.parkavechurch.org/contact",,
Shir Tikvah MN Congregation (Reform Jewish) – Sanctuary & Immigrant Justice,Hennepin,"https://shirtikvahmn.org/sanctuary
https://shirtikvahmn.org/contact-us",,
"St. Paul's–San Pablo Lutheran Church (ELCA, bilingual)",Hennepin,"https://www.sanpablostpaul.org/contact.html
https://apnews.com/article/6b52091480d7439852fe05296ef9c1ab",,
Temple Israel (Reform Jewish) – Immigrant Support Resources,Hennepin,"https://www.templeisrael.com/immigrantsupport
https://www.templeisrael.com/contact",,
Immigrant Connection Mosaic (at Mosaic Christian Community),Ramsey,"https://www.mosaicstpaul.org/resources
https://www.immigrationadvocates.org/nonprofit/volunteer/organization.813941-Immigrant_Connection_Mosaic
https://www.facebook.com/icmosaic/",,
Mosaic Christian Community (Resource Center),Ramsey,"https://www.mosaicstpaul.org/resources
https://www.mosaicstpaul.org/contact-us-2",,
New Life Presbyterian Church (Roseville) – Sanctuary,Ramsey,"https://www.newlifechurchroseville.org/sanctuary
https://www.newlifechurchroseville.org/contact",,
St. Mary of the Lake Catholic Church – Refugee Ministry (White Bear Lake),Ramsey,"https://stmarys-wbl.org/contact/
https://stmarys-wbl.org/pastoral-and-senior-ministries/",,
St. Thomas More Catholic Church (Jesuit) – Immigrant Support Ministry / Sanctuary,Ramsey,"https://www.morecommunity.org/immigrant-support
https://www.thecatholicspirit.com/culture/faith-and-culture/st-thomas-gives-sanctuary-two-families/",,
Holy Cross Lutheran Church (Prior Lake) – English Classes,Scott,https://holycross-pl.org/english-classes/,,
"All Saints Lutheran Church, ELCA (Cottage Grove) – Immigration Task Force",Washington,"https://www.allsaintscg.org/
https://www.facebook.com/allsaintscg/",,
Five Oaks Church (Woodbury) – Loving the Immigrant,Washington,"https://fiveoaks.church/
https://www.facebook.com/fiveoakschurch/about/",,
Guardian Angels Catholic Church (Oakdale) – Refugee/Outreach Ministries,Washington,"https://www.guardian-angels.org/contact-us/
https://www.facebook.com/GuardianAngelsOakdale/about/",,