,,,,
,Tabs,Contents,,
,"You might find some redundancy across different pages.  This is a feature, not a bug. ",,,
,,,,
,Quick Chat GPT Queries,,,
,Immigrant services (Rick Chat),50 organizations in TC metro.  Volunteers needed for food & rent help ,,
,Money & rent help (Jenny Chat),General query about financial and rent assistance,,
,,,,
,"Plug in with specific, active religious organizations",,,
,Religious Organizations,religious organizations providing immigrant services and sanctuary,,
,Additionnal Religious Org Links,related links,,
,,,,
,"Thoughtful Ideas on how to help (all are ""print-ready"")",,,
,How to Help (Baker),Excellent ideas on how to help,,
,How to Help (Bartholomay),Another good list on how to help,,
,Immigrants vs ICE (MSP Mag),Mpls St Paul Magazine with help ideas,,
,,,,
,Some Top MN - Focused Links,,,
,Key & Random MN Links,Links found along the way.  Including ICE watch,,